OBJECTID,NAME,LAYER,THEME,IMAGE_,ADDRESS,PHONE,WEB_URL,WEB_URL2,STEWARD,SOURCE,LAST_UPDAT,Xcoord,Ycoord,ADDRID,PRIORITY_LEVEL,DESCRIPTION,EMAIL_PHONE,DAY,SEASONOPEN,SEASONCLOSE,VOUCHERS,Y,X
1,Southwest DC Farmers Market,Farmers Market,Local Business & Food,,425 M St SW,,,,Jen,http://www.dcfoodfinder.org/,Fall 2017,398400.93,134331.02,307293,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,May,November,"Accepts SNAP, WIC, senior farmers market nutrition program and FVRx benefits; distributes Produce Plus checks.",38.876583,-77.018412
2,Arcadia's Mobile Market at Edgewood Commons,Farmers Market,Local Business & Food,,601 Edgewood St NE,,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,400216.9905,139558.38,289571,,,jennifer.guillaume@dc.gov _ 535-2252,Friday,May,November,"Accepts SNAP, WIC and senior farmers market nutrition program; matching program for voucher customers; distributes Produce Plus checks.",38.923963,-76.997191
3,USDOT Farmers Market,Farmers Market,Local Business & Food,,300 M St SE,(202)366-0674,,,Jen,http://www.dcfoodfinder.org/,Fall 2017,399884.9505,134335.62,289440,1,Seasonal produce direct from farmers. Tuesday.,jennifer.guillaume@dc.gov _ 535-2252,Tuesday,May,November,Accepts WIC and senior farmers market nutrition program benefits.,38.876793,-77.001297
4,Penn Quarter FRESHFARM Market,Farmers Market,Local Business & Food,farmsmkt_pennquarter.jpg,801 F St NW,<Null>,http://freshfarm.org/index.html,http://www.freshfarmmarket.org/,Jen,http://www.dcfoodfinder.org/,Fall 2017,398001.58,136628.01,301060,,Locally grown fresh fruits and vegetables. April-Dec. Thurs. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Thursday,April,December,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; $15 Matching dollars program for SNAP, WIC and senior farmers market nutrition program customers; distributes Produce Plus checks.",38.897401,-77.022963
5,Quarles St Farmers' Market/Kenilworth Farm Stand,Farmers Market,Local Business & Food,,4400 Quarles St NE,,http://www.community-foodworks.org/farmers-market*,,Jen,http://www.dcfoodfinder.org/,Fall 2017,405422.8405,138356.95,22522,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,June,September,,38.913028,-76.93731
6,East Capitol Community Market,Farmers Market,Local Business & Food,,4900 East Capitol St NE,,http://dreamingoutloud.org/programs/community-mar*,,Jen,http://www.dcfoodfinder.org/,Fall 2017,405851.2405,135801.37,16521,,,jennifer.guillaume@dc.gov _ 535-2252,Wednesday,June,September,"Accepts SNAP, WIC, senior farmers market nutrition program and FVRx benefits; distributes Produce Plus checks",38.890153,-76.9326
7,Brookland Farmers' Market,Farmers Market,Local Business & Food,,1000 Otis St NE,202-526-4848,http://lickingcreekbendfarm.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,400643.9805,140744.73,76151,1,Locally grown fresh fruits and vegetables. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Tuesday,June,October,"Accepts SNAP, WIC and EBT; distributes Produce Plus checks.",38.934607,-76.992534
8,New Morning Farmers Market (Watkins School),Farmers Market,Local Business & Food,,1325 D St SE,814.448.3904,http://newmorningfarm.net/markets,,Jen,http://www.dcfoodfinder.org/,Fall 2017,401116.99,135119.82,286053,1,Locally grown fresh fruits and vegetables. Saturday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Wednesday,June,August,"Accepts SNAP, WIC and senior farmers market nutrition program benefits.",38.883983,-76.987452
9,Orchard Country Produce Farm Stand at National Geographic,Farmers Market,Local Business & Food,,1145 17th St NW,,http://orchardcountryproduce.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,396690.6895,137482.05,290192,,,jennifer.guillaume@dc.gov _ 535-2252,Tuesday,May,December,,38.905155,-77.03798
10,Adams Morgan Farmers' Market,Farmers Market,Local Business & Food,,2475 18th St NW,301-587-2248,http://lickingcreekbendfarm.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,396332.5305,139389.45,284397,,Locally grown fresh fruits and vegetables. May-Dec. Saturday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,June,December,"Accepts SNAP, WIC and EBT; distributes Produce Plus checks.",38.922419,-77.042232
