X,Y,OBJECTID,NAME,ADDRESS,PHONE,WARD,XCOORD,YCOORD,MATCHTYPE,MAR_ID,LATITUDE,LONGITUDE
-77.023639670634168,38.933666549951297,1,Bernice Fonteneau Wellness Center,"3531 Georgia Ave, NW",(202) 727-0338,1,397950.57,140641.97,Exact,228763,38.93365909,-77.02363738
-77.032746252627646,38.927064864807612,2,Columbia Heights,"2900 14th Street, NW",(202) 939-9034,1,397160.74,139909.37,Exact,234356,38.92705741,-77.03274396
-77.044455433639882,38.923068509701331,3,Vida Senior Center,"1842 Calvert Street, NW",(202) 483-1508,1,396145.21,139466.17,Exact,235322,38.92306105,-77.04445314
-77.025827460499329,38.921496123502713,4,Garfield Terrace,"2301 11th Street, NW",(202) 939-9038,1,397760.5,139291,Exact,284334,38.92148867,-77.02582517
-77.043237781867546,38.92840072027419,5,Harvard Towers,"1845 Harvard Street, NW",(202) 939-9005,1,396251.08,140058.04,Exact,236261,38.92839326,-77.04323548
-77.038721955090267,38.924489180764759,6,Sarah’s Circle,"2551 17th Street, NW",(202) 332-1400,1,396642.46,139623.65,Exact,235865,38.92448172,-77.03871966
-77.034174119475196,38.917479959256255,7,Paul Lawrence Dunbar,"2001 15th Street, NW",(202) 939-9035,1,397036.53,138845.41,Exact,239975,38.9174725,-77.03417182
-77.018577101831156,38.899167348756357,8,Asian/Pacific Islander Senior Services Center,"417 G Place, NW",(202) 842-4376,2,398388.73,136812.17,Exact,303718,38.8991599,-77.01857481
-77.027333940926823,38.902198382231255,9,Asbury Methodist Church/Downtown Cluster’s Day Care,"926 11th Street, NW",(202) 347-7527,2,397629.22,137148.83,Exact,301937,38.90219093,-77.02733165
-77.028819836855618,38.905860551676959,10,Claridge Towers,"1221 M Street, NW",(202) 682-9395,2,397500.46,137555.4,Exact,278959,38.9058531,-77.02881754
-77.033093221586469,38.907481434675461,11,James Apartment Building,"1425 N Street, NW",(202) 673-4460,2,0,0,Corrected,,,
-77.05115000325813,38.898870620935028,12,St. Mary's Court,"725 24th Street, NW",(202) 223-5712,2,395563.18,136780.31,Exact,242350,38.89886317,-77.0511477
-77.031606219194984,38.906944256299461,13,Family Matters Oasis Senior Center for the Homeless,"1226 Vermont Avenue, NW",(202) 265-2017,2,397258.82,137675.78,Exact,240613,38.9069368,-77.03160393
-77.057529185918469,38.936800121080772,14,Adas Israel,"2850 Quebec Street, NW",(202) 363-7530,3,395012.47,140991.13,Exact,219289,38.93679266,-77.05752688
-77.072420178216092,38.929479168818695,15,St. Albans Episcopal Church,"3001 Wisconsin Avenue, NW",(202) 363-8286 Ext. 212,3,393720.79,140179.36,Exact,221620,38.92947171,-77.07241787
-77.026901560658757,38.950641427022752,16,Colony House,"930 Farragut Street, NW",(202) 882-3881,4,397668.31,142526.41,Exact,285470,38.95063396,-77.02689927
-77.022757066550653,38.938929734453311,17,First Baptist Senior Center,"715 Randolph Street, NW",(202) 723-4313,4,398027.24,141226.21,Exact,249660,38.93892227,-77.02275477
