X,Y,OBJECTID,STORE,ADDRESS,XCOORD,YCOORD,MATCHTYPE,MAR_ID,LATITUDE,LONGITUDE
-76.987907186114654,38.867031319893655,1,24 Express,1223 Good Hope Rd SE,401049.66,133244.73,Exact,71043,38.86702387,-76.98790491
-77.02318914613187,38.930411938719914,2,7 Days Market,3211 Georgia Ave NW,397989.54,140280.67,Exact,229000,38.93040448,-77.02318685
-76.934081897783557,38.903086162904543,3,A & S Grocery,4748 Sheriff Road NE,405717.94,137249.09,Exact,148953,38.90307871,-76.93407963
-76.9255276296186,38.897871847621211,4,A-1 Grocery,615 Division Ave NE,406460.41,136670.83,Exact,4148,38.89786439,-76.92552537
-76.986850460606576,38.866831128858784,5,Anacostia Market,1303 Good Hope Road SE,401141.37,133222.52,Exact,286027,38.86682368,-76.98684818
-76.942338407923174,38.897376886056733,6,Benning Heights Market,547 42nd St NE,405002.17,136614.83,Exact,8635,38.89736943,-76.94233614
-76.990356691970959,38.903046706833095,7,Bodega Market,1136 Florida Ave NE,400836.66,137242.69,Exact,73050,38.90303925,-76.99035441
-76.971581519721497,38.925361264386694,8,Bodega Market (Franklin St),2409 Franklin St NE,402464.45,139720.13,Exact,47576,38.9253538,-76.97157924
-76.938659406878401,38.891643706365166,9,BP Benning Marketplace,4400 Benning Rd NE,405321.74,135978.61,Exact,288186,38.89163625,-76.93865714
-77.019079040780341,38.975046324494478,10,BP Blaire Gas Station,7000 Blair Rd NW,398346.95,145235.41,Exact,249127,38.97503886,-77.01907675
-77.010355304033254,38.956438183122103,11,Capital View Convenience Store,12 Kennedy St NW,399102.65,143169.61,Exact,283923,38.95643072,-77.01035301
-77.009431647176385,38.912141101497852,12,Capitol Food Mart,1634 North Capitol Street NW,399182.2,138252.24,Exact,226794,38.91213365,-77.00942936
-77.008731886046448,38.922532086623164,13,Capitol Market,2501 North Capitol St NE,399243,139405.72,Exact,46731,38.92252463,-77.0087296
-76.998292504970053,38.829005505255189,14,Chesapeake Big Market,601 Chesapeake St SE,400148.46,129023.53,Exact,151054,38.82899807,-76.99829023
-76.984572022039941,38.909608579248712,15,Circle 7,1211 Mt.Olivet Road NE,401338.3,137971.18,Exact,285930,38.90960112,-76.98456974
-77.024437784614719,38.917811565679415,16,Crown Gas Station Florida Ave,908 Florida Ave NW,397880.9,138881.95,Exact,239467,38.91780411,-77.02443549
-77.01239415177686,38.915146727015149,17,DC Mini Mart,1828 1st Street NW,398925.31,138585.92,Exact,218526,38.91513927,-77.01239186
-76.93353331211712,38.881611237610294,18,Dollar Plus Food Store (Benning Rd.),4837 Benning Road SE,405767.26,134865.24,Exact,16739,38.88160378,-76.93353105
-76.969981653342998,38.872737346733842,19,Dollar Plus Food Store (Penn Ave),2529 Pennsylvania Ave SE,402605.1,133878.5,Exact,302054,38.8727299,-76.96997938
-76.959915822875189,38.929825429623996,20,Dollar Plus Food Store (Bladensburg Rd.),3182 Bladensburg Rd NE,403475.8,140216.07,Exact,287723,38.92981797,-76.95991355
-76.98735034256417,38.858258322248396,21,Dollar Plus Food Super Market (Howard Rd.),1453 Howard Road SE,401098.12,132270.87,Exact,286224,38.85825088,-76.98734807
-76.975056206237937,38.850499723442901,22,Dollar Plus Grocery,2101 Alabama Ave SE,402165.42,131409.83,Exact,51905,38.85049228,-76.97505393
-76.978708316359615,38.895002319005982,23,Economy Market,1804 D St NE,401847.25,136349.87,Exact,56044,38.89499487,-76.97870604
-77.007552896433495,38.825895369115763,24,Elmira Grocery,4401 South Capitol Street SW,399344.35,128678.31,Exact,299727,38.82588793,-77.00755062
-76.949717615072288,38.866411847805239,25,FlexCare Pharmacy,3857 Alabama Ave SE,0,0,Manual,,,
-76.96537336055421,38.876390058964077,26,G & G Grocery,2924 Minnesota Ave SE,403004.84,134284.12,Exact,287329,38.87638261,-76.96537109
-76.975791697963118,38.929533062248908,27,Good Food Markets,2006 Rhode Island Ave NE,402099.25,140183.13,Exact,53027,38.9295256,-76.97578942
-76.954282550869451,38.890202228567524,28,Greenway Market,3542 East Capitol St NE,403966.45,135817.8,Exact,287971,38.89019477,-76.95428028
-76.988084325064932,38.867527251164638,29,Grubb’s Southeast Pharmacy,1800 Martin Luther King Jr Ave SE,401034.28,133299.78,Exact,56153,38.8675198,-76.98808205
-76.993968377950367,38.839195642578609,30,Holiday Market,3509 Wheeler Rd SE,400523.85,130154.72,Exact,147495,38.8391882,-76.9939661
-76.985091654034562,38.91188118136612,31,Ivy City,1900 Capitol Ave NE,401293.19,138223.45,Exact,286519,38.91187372,-76.98508937
-77.026645201910682,38.948426980906511,32,Kwik Stop,4801 Georgia Ave NW,397690.46,142280.58,Exact,252033,38.94841952,-77.02664291
-77.000827286405809,38.903889653121283,33,L Street Market,1100 4th St NE,399928.44,137336.22,Exact,74582,38.9038822,-77.000825
-76.997585467246239,38.843394341804206,34,Liff’s Market,600 Alabama Ave SE,400209.81,130620.79,Exact,294492,38.8433869,-76.99758319
-77.022932142965516,38.928836435739605,35,Market 77,3021 Georgia Ave NW,398011.78,140105.77,Exact,229488,38.92882898,-77.02292985
-76.99666218644046,38.846471333624137,36,Martin’s Foodtown,2765 Martin Luther King Jr Ave SE,400289.95,130962.36,Exact,302061,38.84646389,-76.99665991
-77.000997265973183,38.915309620404635,37,McKinley Market,321 T Street NE,399913.71,138603.93,Exact,38666,38.91530216,-77.00099498
-76.997445205512619,38.845487361095095,38,Mellon’s Market,2921 Martin Luther King Jr Ave SE,400221.98,130853.13,Exact,278300,38.84547992,-76.99744293
-76.992717845064746,38.922616504143953,39,Midtown Market,936 Rhode Island Ave NE,400631.68,139415.08,Exact,289090,38.92260905,-76.99271556
-77.007193316403672,38.950042188072075,40,Milestone Place,4860 Fort Totten Dr NE,399376.66,142459.57,Exact,16680,38.95003472,-77.00719103
-76.983837667130089,38.894962513472521,41,Millie’s Market,1452 D St NE,401402.28,136345.36,Exact,63101,38.89495506,-76.98383539
-76.952488862054949,38.891116493591454,42,Minnesota Food Mart,3728 Minnesota Ave NE,404122.01,135919.37,Exact,31128,38.89110904,-76.95248659
-77.028430896824105,38.961525482531393,43,Missouri Avenue Market,5900 Georgia Ave NW,397536.12,143734.68,Exact,253189,38.96151802,-77.0284286
-76.992781733576322,38.862197176429895,44,MLK Grocery,2420 MLK Jr. Ave SE,400626.67,132708.06,Exact,47224,38.86218973,-76.99277945
